text,category,amount
jalan jalan,hiburan,53983
beli lauk,makanan,478918
donasi masjid,sosial,387708
bayar wifi,tagihan,286678
bayar parkir,transportasi,17805
biaya sertifikasi,pendidikan,244080
les privat matematika,pendidikan,13769
kado ulang tahun teman,sosial,130080
nongkrong di kafe bareng teman,sosial,294979
main ke bioskop,hiburan,266493
main arcade,hiburan,491185
tiket lion air,transportasi,137262
rawat jalan,kesehatan,346267
beli kemeja kerja,belanja,383768
senam terapi,kesehatan,188173
senam terapi,kesehatan,194812
liburan keluarga,hiburan,223401
makan malam bersama teman,sosial,142460
langganan youtube premium family,hiburan,307394
bantu keluarga,sosial,9869
kursus data science,pendidikan,329943
bayar denda,lainnya,418521
naik ojek pangkalan,transportasi,306817
ayam rica rica,makanan,170767
belanja di shopee,belanja,448182
ikut workshop,pendidikan,316332
fotocopy ktp,lainnya,499026
top up free fire,hiburan,154455
warteg,makanan,427075
bayar cicilan mobil,tagihan,366910
langganan udemy,pendidikan,203843
gado gado,makanan,86499
biaya sekolah,pendidikan,421775
cetak foto,lainnya,184205
potong rambut,lainnya,466444
biaya transfer antar bank,lainnya,15448
beli parfum lokal,belanja,127590
les privat matematika,pendidikan,212456
indomie goreng,makanan,396650
isi bensin pertamax,transportasi,33587
biaya tukang,lainnya,76539
bayar listrik pln,tagihan,185572
les privat matematika,pendidikan,119672
jalan jalan,hiburan,270985
pijat refleksi,kesehatan,15934
langganan udemy,pendidikan,359961
main ke bioskop,hiburan,69236
bayar microsoft 365,tagihan,186487
beli sandal,belanja,344586
laundry,lainnya,127034
gorengan,makanan,435197
bayar denda,lainnya,447378
beli sandal,belanja,442095
nonton konser,hiburan,339240
bayar bpjs kesehatan,tagihan,240162
ukt kuliah,pendidikan,60863
biaya kuliah,pendidikan,163957
biaya transfer antar bank,lainnya,315650
ganti oli motor,transportasi,176361
spooring balancing,transportasi,495011
ayam bakar,makanan,85132
naik kapal ferry,transportasi,466429
langganan udemy,pendidikan,172320
bayar hosting web,tagihan,277279
tiket bioskop xxi,hiburan,425090
tiket dufan,hiburan,118065
tiket konser musik,hiburan,433187
beli rak sepatu,belanja,164431
isi bensin pertashop,transportasi,427328
bayar internet,tagihan,258849
nongkrong di kafe bareng teman,sosial,273070
biaya notaris,lainnya,229188
naik krl,transportasi,203759
tiket konser musik,hiburan,78860
bayar wifi biznet,tagihan,126750
lontong sayur,makanan,443319
mie sedaap,makanan,39701
naik kapal ferry,transportasi,254609
lontong sayur,makanan,387272
top up higgs domino,hiburan,154384
bayar kartu kredit bca,tagihan,352197
cek mata,kesehatan,59264
roti canai,makanan,94725
healing ke pantai,hiburan,369942
bimbingan belajar,pendidikan,267069
medical check up,kesehatan,72730
kelas online,pendidikan,297998
ongkos tambahan,lainnya,313779
beli buah apel,makanan,321526
beli ibuprofen,kesehatan,120615
kelas online,pendidikan,494634
iuran warga,sosial,410071
beli hampers,sosial,366304
kursus excel,pendidikan,256092
servis rem mobil,transportasi,469238
top up free fire,hiburan,411937
main ke bioskop,hiburan,405076
les privat matematika,pendidikan,450214
kursus mengaji,pendidikan,281907
nongkrong di kafe bareng teman,sosial,235199
patungan gathering,sosial,300597
periksa ke dokter umum,kesehatan,301915
bayar bpjs kesehatan,tagihan,267184
warung nasi,makanan,179879
bayar hosting web,tagihan,144214
bayar parkir,transportasi,83222
kontrol dokter,kesehatan,40197
beli rak sepatu,belanja,162006
cicilan mobil,tagihan,402034
biaya admin bank,lainnya,135831
isi angin ban,transportasi,407909
biaya tukang,lainnya,208623
bayar akulaku,tagihan,148370
kelas online,pendidikan,30435
tiket bioskop xxi,hiburan,183358
beli vitamin d,kesehatan,404824
langganan ruangguru,pendidikan,487632
laundry,lainnya,268398
tes urine,kesehatan,283164
beli buku tulis,lainnya,410991
kondangan nikahan teman,sosial,301821
beli obat anak,kesehatan,197707
langganan youtube premium family,hiburan,294041
bayar pajak kendaraan,transportasi,198472
top up free fire,hiburan,444970
langganan spotify premium,hiburan,212856
kondangan nikahan teman,sosial,272819
bayar paylater,tagihan,334913
laundry express,lainnya,141402
cicilan motor,tagihan,193508
cek mata,kesehatan,27907
bayar kost bulanan,tagihan,223370
kado ulang tahun teman,sosial,411654
kopi susu,makanan,378790
biaya tukang,lainnya,163211
bayar potong rambut,lainnya,198672
beli parfum lokal,belanja,426478
bayar derek,transportasi,408594
biaya admin bank,lainnya,76361
tiket konser musik,hiburan,68628
tebus resep,kesehatan,313728
tiket lion air,transportasi,97346
ukt kuliah,pendidikan,273863
bayar tol,transportasi,434089
kursus ai,pendidikan,211011
indomie goreng,makanan,28271
kasih uang ke orang tua,sosial,342966
beli piring,belanja,127453
beli air fryer,belanja,189717
beli sepatu sneakers,belanja,324549
bayar akulaku,tagihan,290446
top up higgs domino,hiburan,154724
lontong sayur,makanan,373857
staycation hotel,hiburan,144838
beli earphone,belanja,488324
isi bensin pertamax,transportasi,188480
beli susu lansia,kesehatan,468303
warung nasi,makanan,361664
nonton konser,hiburan,304064
beli payung,belanja,122864
shopeefood,makanan,17995
patungan makan,sosial,374126
indomie goreng,makanan,98620
beli iphone,belanja,160122
pijat refleksi,kesehatan,319218
tiket lion air,transportasi,287182
naik becak,transportasi,481067
fotocopy,lainnya,456238
kontrol dokter,kesehatan,122568
kado ulang tahun teman,sosial,492290
biaya tak terduga,lainnya,248824
beli wajan,belanja,337810
les privat matematika,pendidikan,51986
ongkir shopee,lainnya,263516
sewa bus pariwisata,transportasi,398812
bayar denda,lainnya,282574
biaya admin bank,lainnya,236586
terapi pijat,kesehatan,476401
ayam rica rica,makanan,188321
beli vitamin d,kesehatan,283189
bayar bpjs kesehatan,kesehatan,13273
healing ke pantai,hiburan,109951
liburan keluarga,hiburan,390449
soto ayam,makanan,371026
belanja di shopee,belanja,42318
beli mesin kopi,belanja,456158
biaya notaris,lainnya,172183
kondangan nikahan teman,sosial,135902
beli laptop pelajar,pendidikan,350654
staycation hotel,hiburan,482475
beli paket data,tagihan,450299
kursus excel,pendidikan,135144
bayar potong rambut,lainnya,191019
nongkrong di kafe bareng teman,sosial,216209
biaya operasi,kesehatan,439876
bayar kartu kredit bca,tagihan,307763
potong rambut,lainnya,445325
beli kaos polos,belanja,111723
beli laptop,belanja,265920
main ke bioskop,hiburan,327619
cicilan motor,tagihan,109572
biaya laundry kiloan,lainnya,99275
belanja di alfamart,makanan,442122
beli earphone,belanja,143750
iuran keamanan,sosial,64355
beli manga,hiburan,377003
sewa motor harian,transportasi,365110
kursus excel,pendidikan,293410
langganan ruangguru,pendidikan,149683
bayar internet,tagihan,392616
liburan ke bali,hiburan,196856
bayar indihome,tagihan,157280
naik grab,transportasi,357738
beli susu lansia,kesehatan,175070
iuran keamanan,sosial,29079
beli sabun mandi,belanja,307119
sedekah jumat,sosial,403711
uang semester,pendidikan,384744
bayar hosting web,tagihan,94397
beli hampers,sosial,40406
bayar kost bulanan,tagihan,84393
bayar indihome,tagihan,109363
rawat jalan,kesehatan,223991
beli manga,hiburan,418411
jajanan pasar,makanan,456841
gofood,makanan,144042
les privat bahasa inggris,pendidikan,125463
laundry express,lainnya,394925
uang amplop nikahan,sosial,299430
kondangan nikahan teman,sosial,306363
beli vitamin ibu hamil,kesehatan,145219
beli sabun mandi,belanja,174488
ayam bakar,makanan,134973
naik becak,transportasi,336843
langganan udemy,pendidikan,49928
laundry express,lainnya,377018
bayar karaoke,hiburan,265765
kasih hadiah,sosial,450700
beli tiket kai,transportasi,231124
beli samsung,belanja,25898
service mobil,transportasi,240966
top up free fire,hiburan,230930
biaya transfer antar bank,lainnya,320444
bayar potong rambut,lainnya,200160
makan all you can eat,makanan,415707
beli tiket pesawat,transportasi,384679
naik ojek pangkalan,transportasi,472442
beli laptop pelajar,pendidikan,77969
main ke bioskop,hiburan,369584
beli obat demam,kesehatan,336992
siomay,makanan,34971
top up steam wallet,hiburan,290985
patungan gathering,sosial,156693
les calistung,pendidikan,54997
senam terapi,kesehatan,166996
bayar microsoft 365,tagihan,341232
biaya operasi,kesehatan,215126
pijat refleksi,kesehatan,284226
ongkos tambahan,lainnya,340073
naik ojek pangkalan,transportasi,183903
tebus resep,kesehatan,237888
bantu keluarga,sosial,5354
beli payung,belanja,12169
laundry,lainnya,312295
bayar akulaku,tagihan,406337
beli parfum lokal,belanja,455542
biaya notaris,lainnya,37332
cicilan motor,tagihan,456037
bootcamp ui ux,pendidikan,302111
indomie goreng,makanan,281653
bimbel online,pendidikan,396579
warung makan,makanan,351047
bantu keluarga,sosial,9178
kondangan nikahan teman,sosial,416487
biaya kuliah,pendidikan,344722
beli pulpen,lainnya,388963
beli parfum lokal,belanja,397697
tebus resep,kesehatan,221957
langganan spotify premium,hiburan,170463
bootcamp ui ux,pendidikan,191547
rental mobil,transportasi,248557
print dokumen,lainnya,401984
bayar pajak kendaraan,transportasi,403567
donasi,sosial,244888
bayar internet,tagihan,271926
bayar karaoke,hiburan,448512
biaya tak terduga,lainnya,95638
kopi keliling,makanan,380490
beli buku pelajaran,pendidikan,409929
kursus bahasa inggris,pendidikan,392792
es teh,makanan,492018
batagor,makanan,151068
naik krl,transportasi,498388
bayar wifi,tagihan,211021
traktir teman makan,sosial,418815
bayar indihome,tagihan,255323
makan malam bersama teman,sosial,324983
warteg,makanan,455150
sedekah jumat,sosial,93278
beli buah apel,makanan,115140
servis rem mobil,transportasi,456118
main ke bioskop,hiburan,320947
beli power bank,belanja,294402
bayar bpjs kesehatan,kesehatan,87527
cicilan mobil,tagihan,434068
beli iphone,belanja,487970
langganan youtube premium family,hiburan,88541
bantu keluarga,sosial,126559
beli vitamin d,kesehatan,185969
es kopi susu gula aren,makanan,272075
bayar internet,tagihan,473258
periksa ke dokter umum,kesehatan,128872
beli manga,hiburan,295466
bayar bpjs kesehatan,tagihan,200663
isi bensin pertalite,transportasi,208873
les privat matematika,pendidikan,258111
top up steam wallet,hiburan,431496
langganan udemy,pendidikan,93867
ayam rica rica,makanan,135970
es kopi susu gula aren,makanan,245570
les privat bahasa inggris,pendidikan,489525
bayar microsoft 365,tagihan,358107
top up steam wallet,hiburan,350365
beli sandal,belanja,463327
staycation hotel,hiburan,474198
senam terapi,kesehatan,294058
mie sedaap,makanan,152721
kado ulang tahun teman,sosial,424169
tes urine,kesehatan,82769
top up steam wallet,hiburan,378192
kontrol dokter,kesehatan,248245
bayar kartu kredit bca,tagihan,495642
pengeluaran tidak terduga,lainnya,119829
patungan gathering,sosial,176599
bayar karaoke,hiburan,173407
belanja tiktok shop,belanja,159722
beli token listrik,tagihan,161428
tiket kereta,transportasi,400968
bootcamp programming,pendidikan,172894
bayar bpjs kesehatan,tagihan,416987
cicilan mobil,tagihan,224802
ayam bakar,makanan,206953
sewa bus pariwisata,transportasi,393019
bayar hosting web,tagihan,21638
beli sabun mandi,belanja,182503
roti canai,makanan,271161
bayar internet,tagihan,357333
bayar karaoke,hiburan,213750
beli skincare,belanja,61804
beli parfum lokal,belanja,420442
fisioterapi,kesehatan,51205
kondangan nikahan teman,sosial,377975
servis rem mobil,transportasi,130998
tiket konser musik,hiburan,426888
beli manga,hiburan,72284
kursus coding,pendidikan,362413
belanja di shopee,belanja,47174
donasi masjid,sosial,17535
warung padang,makanan,311277
bayar bpjs kesehatan,tagihan,418118
bayar spp,pendidikan,262213
bayar karaoke,hiburan,428951
top up steam wallet,hiburan,430458
bayar paylater,tagihan,252675
iuran keamanan,sosial,6346
ongkir shopee,lainnya,83455
bantu keluarga,sosial,328675
naik grab,transportasi,398465
main ke bioskop,hiburan,222905
biaya operasi,kesehatan,315973
bayar token,tagihan,250377
bayar internet,tagihan,61256
