Note,Category
Monthly subscription box,Other
New furniture for the living room,Household
Birthday gift for a family member,Gift
Lunch meeting with clients,Food
Subway fare,Transportation
New winter boots,Apparel
Art class fee,Education
Donation to environmental charity,Other
Dinner date with a friend,Social Life
Coffee shop study session,Food
Pet adoption fees,Pet
Utility bill payment,Household
New workout clothes,Apparel
Movie night at home,Social Life
Pet food and supplies,Pet
Monthly internet bill payment,Household
Travel expenses reimbursement,Other
Dinner at a new restaurant,Food
Bus fare,Transportation
New handbag,Apparel
Art supplies for a project,Other
Dinner with family,Food
Car maintenance,Transportation
Monthly rent payment,Household
New suit for work,Apparel
Concert tickets for a band,Social Life
Adoption fees for a rescue pet,Pet
Weekly grocery shopping,Food
Public transportation pass,Transportation
New jacket,Apparel
Art workshop fees,Education
Donation to disaster relief fund,Other
Dinner party with friends,Food
Taxi fare home from the airport,Transportation
Monthly insurance premium payment,Household
New shoes for running,Apparel
Dinner at a new sushi restaurant,Food
Bus pass renewal,Transportation
New purse,Apparel
Music festival tickets,Social Life
Pet medical expenses,Pet
Monthly cleaning service fee,Household
Train ticket,Transportation
New jeans,Apparel
Art supplies for painting,Other
Dinner at a new Italian restaurant,Food
Gasoline for the car,Transportation
New winter jacket,Apparel
Music concert tickets,Social Life
Pet adoption fee,Pet
Monthly water bill payment,Household
Flight ticket,Transportation
New workout shoes,Apparel
Dinner at a new Thai restaurant,Food
Subway pass,Transportation
New earrings,Apparel
Movie theater tickets,Social Life
Pet insurance payment,Pet
Monthly garbage collection fee,Household
Train fare,Transportation
New t-shirt,Apparel
Dinner at a new Mexican restaurant,Food
Taxi fare to the train station,Transportation
New watch,Apparel
Theater tickets,Social Life
Pet grooming supplies,Pet
Monthly internet subscription,Household
Bus ticket,Transportation
New socks,Apparel
Dinner at a new Indian restaurant,Food
Car rental fee,Transportation
New necklace,Apparel
Live concert tickets,Social Life
Pet medication,Pet
Monthly homeowners association fee,Household
Ferry ticket,Transportation
New sunglasses,Apparel
Dinner at a new BBQ restaurant,Food
Parking fees,Transportation
New ring,Apparel
Movie tickets,Social Life
Pet boarding fees,Pet
Monthly homeowners association fee,Household
Rental car fees,Transportation
New scarf,Apparel
Movie rental,Social Life
Pet adoption donation,Pet
Monthly cable bill payment,Household
Rideshare fare,Transportation
New gloves,Apparel
Dinner at a new seafood restaurant,Food
Taxi fare to the airport,Transportation
New belt,Apparel
Broadway show tickets,Social Life
Pet grooming session,Pet
Monthly HOA fee,Household
Bus ticket to another city,Transportation
New swimsuit,Apparel
Gaming convention tickets,Social Life
Pet supplies,Pet
Monthly waste disposal fee,Household
Rental scooter fee,Transportation
New wallet,Apparel
Stand-up comedy tickets,Social Life
Pet adoption event donation,Pet
Monthly property insurance payment,Household
Train ticket to visit family,Transportation
New boots,Apparel
Movie rental fees,Social Life
Pet grooming appointment,Pet
Monthly home security fee,Household
Bus fare to visit friends,Transportation
New coat,Apparel
Concert tickets for a favorite band,Social Life
Pet food purchase,Pet
Monthly pest control fee,Household
Taxi fare for a night out,Transportation
New sneakers,Apparel
Groceries for the week,Food
Dinner with friends,Social Life
Gasoline refill,Transportation
New shoes,Apparel
Monthly rent,Household
Cooking class fee,Education
Weekly pocket money,Allowance
Yoga class membership,Education
Haircut,Beauty
Birthday present for a friend,Gift
Lunch with coworkers,Social Life
New kitchen appliances,Household
Textbooks for upcoming semester,Education
Electricity bill payment,Household
Movie ticket,Social Life
Donation to charity,Other
Subscription to online learning platform,Education
Dining out,Food
Car maintenance,Transportation
Monthly savings deposit,Other
New skincare products,Beauty
Emergency fund withdrawal,Other
Coffee with a friend,Social Life
Cleaning supplies,Household
Taxi fare,Transportation
New winter coat,Apparel
Music concert ticket,Social Life
Cat food,Pet
Lunch at work,Food
Gym membership fee,Education
Household repairs,Household
Weekly allowance for kids,Allowance
Dinner at a fancy restaurant,Social Life
Textbooks for next semester,Education
Hair dye kit,Beauty
New phone case,Apparel
Savings for vacation,Other
Monthly book club subscription,Education
Pet grooming appointment,Pet
Lunch with family,Food
Fuel for the car,Transportation
Monthly utility bills,Household
New sneakers,Apparel
Coffee with a colleague,Social Life
Gardening supplies,Household
Public transportation pass renewal,Transportation
Donation to animal shelter,Other
Dinner at home,Food
Language learning app subscription,Education
Vet visit,Pet
Snacks for movie night,Food
Hair salon appointment,Beauty
New laptop,Household
Dinner date with partner,Social Life
Monthly budget adjustment,Other
Art supplies,Other
Groceries for a dinner party,Food
Bike repair kit,Transportation
Monthly mortgage payment,Household
New dress for an event,Apparel
Cooking ingredients,Food
Movie night with friends,Social Life
Dinner with extended family,Social Life
Donation to education charity,Other
Lunch at a new restaurant,Food
Public transportation tickets,Transportation
New glasses,Apparel
Coffee break,Food
Concert ticket,Social Life
Pet toys,Pet
Monthly phone bill payment,Household
Online course enrollment,Education
New skincare routine products,Beauty
Weekend getaway expenses,Other
Dinner with coworkers,Social Life
Household cleaning supplies,Household
Car insurance payment,Transportation
New shoes for work,Apparel
Music streaming service subscription,Other
Dinner at a friend's house,Food
Taxi ride home,Transportation
Monthly subscription box,Other
New furniture for the living room,Household
Birthday gift for a family member,Gift
Lunch meeting with clients,Food
Subway fare,Transportation
New winter boots,Apparel
Art class fee,Education
Donation to environmental charity,Other
Dinner date with a friend,Social Life
Coffee shop study session,Food
Pet adoption fees,Pet
Utility bill payment,Household
New workout clothes,Apparel
Movie night at home,Social Life
Pet food and supplies,Pet
Monthly internet bill payment,Household
Travel expenses reimbursement,Other
Dinner at a new restaurant,Food
Bus fare,Transportation
New handbag,Apparel
Art supplies for a project,Other
Dinner with family,Food
Car maintenance,Transportation
Monthly rent payment,Household
New suit for work,Apparel
Concert tickets for a band,Social Life
Adoption fees for a rescue pet,Pet
Weekly grocery shopping,Food
Public transportation pass,Transportation
New jacket,Apparel
Art workshop fees,Education
Donation to disaster relief fund,Other
Dinner party with friends,Food
Taxi fare home from the airport,Transportation
Monthly insurance premium payment,Household
New shoes for running,Apparel
Dinner at a new sushi restaurant,Food
Bus pass renewal,Transportation
New purse,Apparel
Music festival tickets,Social Life
Pet medical expenses,Pet
Monthly cleaning service fee,Household
Train ticket,Transportation
New jeans,Apparel
Art supplies for painting,Other
Dinner at a new Italian restaurant,Food
Gasoline for the car,Transportation
New winter jacket,Apparel
Music concert tickets,Social Life
Pet adoption fee,Pet
Monthly water bill payment,Household
Flight ticket,Transportation
New workout shoes,Apparel
Dinner at a new Thai restaurant,Food
Subway pass,Transportation
New earrings,Apparel
Movie theater tickets,Social Life
Pet insurance payment,Pet
Monthly garbage collection fee,Household
Train fare,Transportation
New t-shirt,Apparel
Dinner at a new Mexican restaurant,Food
Taxi fare to the train station,Transportation
New watch,Apparel
Theater tickets,Social Life
Pet grooming supplies,Pet
Monthly internet subscription,Household
Bus ticket,Transportation
New socks,Apparel
Dinner at a new Indian restaurant,Food
Car rental fee,Transportation
New necklace,Apparel
Live concert tickets,Social Life
Pet medication,Pet
Monthly homeowners association fee,Household
Ferry ticket,Transportation
New sunglasses,Apparel
Dinner at a new BBQ restaurant,Food
Parking fees,Transportation
New ring,Apparel
Movie tickets,Social Life
Pet boarding fees,Pet
Monthly homeowners association fee,Household
Rental car fees,Transportation
New scarf,Apparel
Movie rental,Social Life
Pet adoption donation,Pet
Monthly cable bill payment,Household
Rideshare fare,Transportation
New gloves,Apparel
Dinner at a new seafood restaurant,Food
Taxi fare to the airport,Transportation
New belt,Apparel
Broadway show tickets,Social Life
Pet grooming session,Pet
Monthly HOA fee,Household
Bus ticket to another city,Transportation
New swimsuit,Apparel
Gaming convention tickets,Social Life
Pet supplies,Pet
Monthly waste disposal fee,Household
Rental scooter fee,Transportation
New wallet,Apparel
Stand-up comedy tickets,Social Life
Pet adoption event donation,Pet
Monthly property insurance payment,Household
Train ticket to visit family,Transportation
New boots,Apparel
Movie rental fees,Social Life
Pet grooming appointment,Pet
Monthly home security fee,Household
Bus fare to visit friends,Transportation
New coat,Apparel
Concert tickets for a favorite band,Social Life
Pet food purchase,Pet
Monthly pest control fee,Household
Taxi fare for a night out,Transportation
New sneakers,Apparel
New gaming console,Entertainment
Dinner at a new Chinese restaurant,Food
Gasoline for the car,Transportation
New winter boots,Apparel
Music concert tickets,Social Life
Pet adoption fee,Pet
Monthly water bill payment,Household
Flight ticket,Transportation
New workout shoes,Apparel
Dinner at a new Thai restaurant,Food
Subway pass,Transportation
New earrings,Apparel
Movie theater tickets,Social Life
Pet insurance payment,Pet
Monthly garbage collection fee,Household
Train fare,Transportation
New t-shirt,Apparel
Dinner at a new Mexican restaurant,Food
Taxi fare to the train station,Transportation
New watch,Apparel
Theater tickets,Social Life
Pet grooming supplies,Pet
Monthly internet subscription,Household
Bus ticket,Transportation
New socks,Apparel
Dinner at a new Indian restaurant,Food
Car rental fee,Transportation
New necklace,Apparel
Live concert tickets,Social Life
Pet medication,Pet
Monthly homeowners association fee,Household
Ferry ticket,Transportation
New sunglasses,Apparel
Dinner at a new BBQ restaurant,Food
Parking fees,Transportation
New ring,Apparel
Movie tickets,Social Life
Pet boarding fees,Pet
Monthly homeowners association fee,Household
Rental car fees,Transportation
New scarf,Apparel
Movie rental,Social Life
Pet adoption donation,Pet
Monthly cable bill payment,Household
Rideshare fare,Transportation
New gloves,Apparel
Dinner at a new seafood restaurant,Food
Taxi fare to the airport,Transportation
New belt,Apparel
Broadway show tickets,Social Life
Pet grooming session,Pet
Monthly HOA fee,Household
Bus ticket to another city,Transportation
New swimsuit,Apparel
Gaming convention tickets,Social Life
Pet supplies,Pet
Monthly waste disposal fee,Household
Rental scooter fee,Transportation
New wallet,Apparel
Stand-up comedy tickets,Social Life
Pet adoption event donation,Pet
Monthly property insurance payment,Household
Train ticket to visit family,Transportation
New boots,Apparel
Movie rental fees,Social Life
Pet grooming appointment,Pet
Monthly home security fee,Household
Bus fare to visit friends,Transportation
New coat,Apparel
Concert tickets for a favorite band,Social Life
Pet food purchase,Pet
Monthly pest control fee,Household
Taxi fare for a night out,Transportation
New sneakers,Apparel
New gaming console,Entertainment
Dinner at a new Chinese restaurant,Food
Gasoline for the car,Transportation
New winter boots,Apparel
Music concert tickets,Social Life
Pet adoption fee,Pet
Monthly water bill payment,Household
Flight ticket,Transportation
New workout shoes,Apparel
Dinner at a new Thai restaurant,Food
Subway pass,Transportation
New earrings,Apparel
Movie theater tickets,Social Life
Pet insurance payment,Pet
Monthly garbage collection fee,Household
Train fare,Transportation
New t-shirt,Apparel
Dinner at a new Mexican restaurant,Food
Taxi fare to the train station,Transportation
New watch,Apparel
Theater tickets,Social Life
Pet grooming supplies,Pet
Monthly internet subscription,Household
Bus ticket,Transportation
New socks,Apparel
Dinner at a new Indian restaurant,Food
Car rental fee,Transportation
New necklace,Apparel
Live concert tickets,Social Life
Pet medication,Pet
Monthly homeowners association fee,Household
Ferry ticket,Transportation
New sunglasses,Apparel
Dinner at a new BBQ restaurant,Food
Parking fees,Transportation
New ring,Apparel
Movie tickets,Social Life
Pet boarding fees,Pet
Monthly homeowners association fee,Household
Rental car fees,Transportation
New scarf,Apparel
Movie rental,Social Life
Pet adoption donation,Pet
Monthly cable bill payment,Household
Rideshare fare,Transportation
New gloves,Apparel
Dinner at a new seafood restaurant,Food
Taxi fare to the airport,Transportation
New belt,Apparel
Broadway show tickets,Social Life
Pet grooming session,Pet
Monthly HOA fee,Household
Bus ticket to another city,Transportation
New swimsuit,Apparel
Gaming convention tickets,Social Life
Pet supplies,Pet
Monthly waste disposal fee,Household
Rental scooter fee,Transportation
New wallet,Apparel
Stand-up comedy tickets,Social Life
Pet adoption event donation,Pet
Monthly property insurance payment,Household
Train ticket to visit family,Transportation
New boots,Apparel
Movie rental fees,Social Life
Pet grooming appointment,Pet
Monthly home security fee,Household
Bus fare to visit friends,Transportation
New coat,Apparel
Concert tickets for a favorite band,Social Life
Pet food purchase,Pet
Monthly pest control fee,Household
Taxi fare for a night out,Transportation
New sneakers,Apparel
New gaming console,Entertainment
Dinner at a new Chinese restaurant,Food
Gasoline for the car,Transportation
New winter boots,Apparel
Music concert tickets,Social Life
Pet adoption fee,Pet
Monthly water bill payment,Household
Flight ticket,Transportation
New workout shoes,Apparel
Dinner at a new Thai restaurant,Food
Subway pass,Transportation
New earrings,Apparel
Movie theater tickets,Social Life
Pet insurance payment,Pet
Monthly garbage collection fee,Household
Train fare,Transportation
New t-shirt,Apparel
Dinner at a new Mexican restaurant,Food
Taxi fare to the train station,Transportation
New watch,Apparel
Theater tickets,Social Life
Pet grooming supplies,Pet
Monthly internet subscription,Household
Bus ticket,Transportation
New socks,Apparel
Dinner at a new Indian restaurant,Food
Car rental fee,Transportation
New necklace,Apparel
Live concert tickets,Social Life
Pet medication,Pet
Monthly homeowners association fee,Household
Ferry ticket,Transportation
New sunglasses,Apparel
Dinner at a new BBQ restaurant,Food
Parking fees,Transportation
New ring,Apparel
Movie tickets,Social Life
Pet boarding fees,Pet
Monthly homeowners association fee,Household
Rental car fees,Transportation
New scarf,Apparel
Movie rental,Social Life
Pet adoption donation,Pet
Monthly cable bill payment,Household
Rideshare fare,Transportation
New gloves,Apparel
Dinner at a new seafood restaurant,Food
Taxi fare to the airport,Transportation
New belt,Apparel
Broadway show tickets,Social Life
Pet grooming session,Pet
Monthly HOA fee,Household
Bus ticket to another city,Transportation
New swimsuit,Apparel
Gaming convention tickets,Social Life
Pet supplies,Pet
Monthly waste disposal fee,Household
Rental scooter fee,Transportation
New wallet,Apparel
Stand-up comedy tickets,Social Life
Pet adoption event donation,Pet
Monthly property insurance payment,Household
Train ticket to visit family,Transportation
New boots,Apparel
Movie rental fees,Social Life
Pet grooming appointment,Pet
Monthly home security fee,Household
Bus fare to visit friends,Transportation
New coat,Apparel
Concert tickets for a favorite band,Social Life
Pet food purchase,Pet
Monthly pest control fee,Household
Taxi fare for a night out,Transportation
New sneakers,Apparel
New gaming console,Entertainment
Dinner at a new Chinese restaurant,Food
Gasoline for the car,Transportation
New winter boots,Apparel
Music concert tickets,Social Life
Pet adoption fee,Pet
Monthly water bill payment,Household
Flight ticket,Transportation
New workout shoes,Apparel
Dinner at a new Thai restaurant,Food
Subway pass,Transportation
New earrings,Apparel
Movie theater tickets,Social Life
Pet insurance payment,Pet
Monthly garbage collection fee,Household
Train fare,Transportation
New t-shirt,Apparel
Dinner at a new Mexican restaurant,Food
Taxi fare to the train station,Transportation
New watch,Apparel
Theater tickets,Social Life
Pet grooming supplies,Pet
Monthly internet subscription,Household
Bus ticket,Transportation
New socks,Apparel
Dinner at a new Indian restaurant,Food
Car rental fee,Transportation
New necklace,Apparel
Live concert tickets,Social Life
Pet medication,Pet
Monthly homeowners association fee,Household
Ferry ticket,Transportation
New sunglasses,Apparel
Dinner at a new BBQ restaurant,Food
Parking fees,Transportation
New ring,Apparel
Movie tickets,Social Life
Pet boarding fees,Pet
Monthly homeowners association fee,Household
Rental car fees,Transportation
New scarf,Apparel
Movie rental,Social Life
Pet adoption donation,Pet
Monthly cable bill payment,Household
Rideshare fare,Transportation
New gloves,Apparel
Dinner at a new seafood restaurant,Food
Taxi fare to the airport,Transportation
New belt,Apparel
Broadway show tickets,Social Life
Pet grooming session,Pet
Monthly HOA fee,Household
Bus ticket to another city,Transportation
New swimsuit,Apparel
Gaming convention tickets,Social Life
Pet supplies,Pet
Monthly waste disposal fee,Household
Rental scooter fee,Transportation
New wallet,Apparel
Stand-up comedy tickets,Social Life
Pet adoption event donation,Pet
Monthly property insurance payment,Household
Train ticket to visit family,Transportation
New boots,Apparel
Movie rental fees,Social Life
Pet grooming appointment,Pet
Monthly home security fee,Household
Bus fare to visit friends,Transportation
New coat,Apparel
Concert tickets for a favorite band,Social Life
Pet food purchase,Pet
Monthly pest control fee,Household
Taxi fare for a night out,Transportation
New sneakers,Apparel
Monthly rent,Household
Grocery shopping,Food
Eating out with friends,Social Life
Gasoline expense,Transportation
New shoes,Apparel
School tuition fee,Education
Birthday gift for mom,Gift
Haircut,Beauty
Monthly phone bill,Other
Weekly allowance,Allowance
Online course subscription,Education
Dinner with colleagues,Social Life
Electricity bill,Household
New laptop,Other
Public transportation fare,Transportation
New dress,Apparel
Language learning books,Education
Charity donation,Other
Coffee with friends,Social Life
Home cleaning supplies,Household
Fitness class subscription,Education
Skincare products,Beauty
Gift for friend's wedding,Gift
Lunch at work,Food
Parking fees,Transportation
Movie tickets,Social Life
Furniture purchase,Household
New jeans,Apparel
Workshop registration fee,Education
Monthly pocket money,Allowance
Art supplies,Education
Spa day,Beauty
Dinner date with partner,Social Life
Internet subscription,Household
Concert tickets,Other
Car maintenance,Transportation
Summer clothes shopping,Apparel
Textbooks,Education
Holiday gifts,Gift
Makeup products,Beauty
Family dinner,Social Life
Home insurance,Household
Software subscription,Other
Bus fare,Transportation
Winter coat purchase,Apparel
Seminar registration,Education
Weekly savings,Allowance
Investment in online courses,Education
Facial treatment,Beauty
Coffee machine purchase,Household
Music festival tickets,Other
Bicycle repair,Transportation
Swimsuit purchase,Apparel
Workshop attendance,Education
Valentine's Day gift for partner,Gift
Lipstick,Beauty
Lunch with coworkers,Social Life
Home decor purchase,Household
Subscription renewal,Other
Train tickets,Transportation
Summer sandals purchase,Apparel
Library books fine,Education
Birthday present for sibling,Gift
Perfume purchase,Beauty
Dinner party with friends,Social Life
Laundry detergent,Household
Online software purchase,Other
Taxi fare,Transportation
Winter boots purchase,Apparel
Online course materials,Education
Christmas gifts,Gift
Facial mask,Beauty
Weekend getaway,Other
Gym membership,Education
Hair dye,Beauty
Weekend brunch with family,Social Life
Home repairs,Household
New phone case,Other
Gasoline refill,Transportation
Designer handbag purchase,Apparel
Workshop materials,Education
Monthly stipend,Allowance
Book club membership,Education
Nail polish,Beauty
Dinner at a fancy restaurant,Social Life
Home security system,Household
Medical expenses,Other
Bus pass renewal,Transportation
Summer hat purchase,Apparel
Language course materials,Education
Mother's Day gift,Gift
Face cream,Beauty
Coffee date with best friend,Social Life
Home internet bill,Household
Gardening tools purchase,Household
Pizza delivery,Social Life
Monthly bus pass,Transportation
New sunglasses purchase,Apparel
Cooking class registration,Education
Wedding anniversary gift,Gift
Lip balm purchase,Beauty
Charity fundraiser donation,Other
Weekend road trip,Other
Movie night with family,Social Life
Apartment cleaning service,Household
Home appliance repair,Household
Concert tickets,Entertainment
Car insurance renewal,Transportation
Winter scarf purchase,Apparel
Online coding course subscription,Education
Monthly allowance,Allowance
Investment in stocks,Other
New tattoo,Beauty
Fitness tracker purchase,Health
Coffee shop work session,Social Life
Home decoration items purchase,Household
Pet vaccination,Health
Grocery delivery service,Household
Personal finance book purchase,Education
Monthly savings deposit,Other
Valentine's Day dinner date,Social Life
Home workout equipment purchase,Health
Weekend camping trip,Other
Movie streaming subscription,Entertainment
Car fuel refill,Transportation
Summer swimsuit purchase,Apparel
Online language course subscription,Education
Baby shower gift,Gift
Skincare routine products,Beauty
Dinner with relatives,Social Life
Home security camera installation,Household
Car maintenance service,Transportation
Spring wardrobe update,Apparel
Investment in cryptocurrency,Other
New hairstyle,Beauty
Barbecue party with friends,Social Life
Home renovation project,Household
Monthly utility bills,Household
New gaming console purchase,Entertainment
Car parking fees,Transportation
Autumn boots purchase,Apparel
Business conference registration,Education
Christmas dinner with family,Social Life
Gift for colleague's promotion,Gift
Makeup brushes purchase,Beauty
Dance class registration,Health
Board game night with friends,Social Life
Home furniture upgrade,Household
Car registration renewal,Transportation
Summer shorts purchase,Apparel
Online photography course subscription,Education
Monthly rental income,Other
Father's Day gift,Gift
Manicure appointment,Beauty
Yoga class membership,Health
Weekend getaway with partner,Social Life
Home gardening supplies purchase,Household
Car repair expenses,Transportation
Winter gloves purchase,Apparel
Art workshop registration,Education
Birthday party with friends,Social Life
Graduation gift for cousin,Gift
Facial cleanser purchase,Beauty
Regular medical check-up,Health
Weekend hike with friends,Social Life
Home cleaning service,Household
Pet adoption fee,Other
Game night with friends,Social Life
Monthly subway pass,Transportation
New winter coat purchase,Apparel
Online music course subscription,Education
Housewarming gift for friend,Gift
Perfume sample purchase,Beauty
Charity run registration,Other
Weekend beach trip,Other
Movie marathon night,Social Life
Home renovation expenses,Household
Lawn maintenance service,Household
Theater tickets,Entertainment
Car maintenance supplies purchase,Transportation
Summer dress purchase,Apparel
Online coding bootcamp registration,Education
Quarterly dividend payout,Other
Spa treatment,Beauty
Coffee shop meetup,Social Life
Home office supplies purchase,Household
Pet grooming appointment,Other
Grocery shopping for a party,Household
Personal development workshop registration,Education
Monthly investment deposit,Other
New pet adoption fee,Other
Dinner at a fancy restaurant,Food
Family game night,Social Life
Home security system upgrade,Household
Car oil change service,Transportation
Winter sweater purchase,Apparel
Online cooking course subscription,Education
Valentine's Day surprise for partner,Gift
Hair styling appointment,Beauty
Gym membership renewal,Health
Coffee shop study session,Social Life
Home appliance upgrade,Household
Car maintenance parts purchase,Transportation
Spring cleaning,Household
Autumn jacket purchase,Apparel
Online finance course subscription,Education
Monthly rental income,Other
Mother's Day surprise,Other
Home decor items purchase,Household
Car tire replacement,Transportation
Summer sandals purchase,Apparel
Online painting course subscription,Education
Monthly dividend payout,Other
Father's Day surprise,Other
Guitar lessons registration,Education
Skincare routine appointment,Beauty
Fitness class session,Health
Dinner date with significant other,Social Life
Home improvement project,Household
Car wash service,Transportation
Winter boots purchase,Apparel
Art supplies purchase,Education
Birthday celebration with family,Social Life
Graduation celebration,Other
Makeup palette purchase,Beauty
Regular dental check-up,Health
Weekend picnic with friends,Social Life
Home yoga studio setup,Education
Pet therapy session,Health
Street food festival visit,Food
New hiking boots purchase,Other
Monthly public transport pass,Transportation
Coffee with a stranger,Social Life
Home DIY furniture project,Household
Movie night under the stars,Entertainment
Monthly podcast subscription,Entertainment
New tattoo design consultation,Beauty
Volunteer at a local shelter,Other
Weekend road trip with no destination,Other
Monthly donation to a charity,Other
Homebrewing beer equipment purchase,Food
Skydiving experience,Other
Vintage clothing thrift store haul,Apparel
Online philosophy course subscription,Education
Beach cleanup event participation,Other
Attend a live theatre performance,Entertainment
Home aromatherapy kit purchase,Other
Coffee shop poetry reading,Other
Home hydroponic gardening setup,Household
Monthly rock climbing gym membership,Health
Solo camping trip,Other
Monthly book club meeting,Education
Weekend flea market exploration,Other
Attend a stand-up comedy show,Entertainment
Home meditation corner creation,Other
Monthly art supplies replenishment,Other
Local food tasting tour,Food
Join a community sports team,Other
Home succulent garden creation,Household
Monthly subscription box delivery,Other
Explore a nearby national park,Other
Attend a pottery making workshop,Other
Monthly music festival attendance,Entertainment
Home film photography darkroom setup,Other
Attend a wildlife photography tour,Other
Monthly cooking class enrollment,Food
Join a local hiking group,Other
Home aquarium setup,Household
Monthly live music concert attendance,Entertainment
Attend a wine tasting event,Food
Home DIY candle making project,Household
Monthly community volunteering activity,Other
Join a local dance class,Other
Home fermentation station setup,Food
Monthly visit to an art museum,Other
Attend a local cultural festival,Entertainment
Home rooftop vegetable garden creation,Household
Monthly visit to a historical site,Other
Join a local community choir,Other
Home bike repair workshop setup,Household
Monthly participation in a storytelling event,Other
Attend a woodworking workshop,Other
Home beekeeping setup,Household
Monthly visit to a botanical garden,Other
Join a local theater group,Entertainment
Home eco-friendly cleaning product creation,Household
Monthly visit to a science museum,Education
Join a local cooking club,Food
Home backyard birdwatching setup,Household
Monthly visit to a farmer's market,Food
Monthly rent,Household
Dinner at restaurant,Food
Taxi fare,Transportation
Concert tickets,Social Life
New clothes,Apparel
School books,Education
Weekly allowance,Allowance
Online course,Education
Skincare products,Beauty
Birthday gift,Gift
Groceries,Food
Electricity bill,Household
Bus pass,Transportation
Night out with friends,Social Life
New shoes,Apparel
College tuition,Education
Pocket money,Allowance
Gym membership,Education
Makeup,Beauty
Anniversary gift,Gift
Breakfast at café,Food
Water bill,Household
Train ticket,Transportation
Movie night,Social Life
Winter coat,Apparel
Online class,Education
Holiday allowance,Allowance
Language course,Education
Haircut,Beauty
Wedding gift,Gift
Lunch with colleagues,Food
Internet bill,Household
Gasoline,Transportation
Music festival,Social Life
Suit,Apparel
Textbooks,Education
Daily allowance,Allowance
Personal development book,Education
Manicure,Beauty
Christmas gift,Gift
Brunch with family,Food
Rent insurance,Household
Parking fee,Transportation
Barbecue party,Social Life
Summer dress,Apparel
Workshop fee,Education
Monthly stipend,Allowance
Yoga class,Education
Facial treatment,Beauty
Graduation gift,Gift
Dinner with friends,Food
Home repairs,Household
Subway ticket,Transportation
Game night,Social Life
Business attire,Apparel
School supplies,Education
Travel allowance,Allowance
Professional training,Education
Beauty products,Beauty
Thank you gift,Gift
Monthly rent,Household
Bus fare,Transportation
Lunch with friends,Social Life
Grocery shopping,Food
New jeans,Apparel
Tuition fee,Education
Weekly allowance,Allowance
Online course,Education
Skincare products,Beauty
Birthday gift,Gift
Dog food,Pet
Internet bill,Household
Taxi fare,Transportation
Dinner date,Social Life
Bakery items,Food
Winter coat,Apparel
Books for school,Education
Parents' allowance,Allowance
Gym membership,Education
Makeup kit,Beauty
Wedding gift,Gift
Pet grooming,Pet
Electricity bill,Household
Train ticket,Transportation
Concert tickets,Social Life
Vegetable shopping,Food
Summer dress,Apparel
College fees,Education
Monthly stipend,Allowance
Leadership seminar,Education
Haircut,Beauty
Christmas gift,Gift
Pet vaccinations,Pet
Water bill,Household
Gas for car,Transportation
Night out,Social Life
Fruit purchase,Food
Shoes,Apparel
Stationery,Education
Holiday allowance,Allowance
Language class,Education
Facial treatment,Beauty
Graduation gift,Gift
Pet toys,Pet
Rent,Household
Subway fare,Transportation
Meetup with colleagues,Social Life
Dinner with family,Food
Workout clothes,Apparel
Course materials,Education
Daily allowance,Allowance
Professional workshop,Education
Manicure,Beauty
Anniversary gift,Gift
Pet accessories,Pet
House cleaning service,Household
Bus pass,Transportation
Friends gathering,Social Life
Snacks,Food
Jacket,Apparel
Online courses,Education
Student allowance,Allowance
Skill workshop,Education
